[ PSO ]

EPS_X	EPS_Y	GAMMA
sigma_z[211] = 1.435678e+05
sigma_z[212] = 8.031731e+03
sigma_z[213] = 1.403876e+05
sigma_z[214] = 1.739740e+04
sigma_z[215] = 1.423117e+05
sigma_z[216] = -8.121076e+02
sigma_z[217] = 1.394997e+05
sigma_z[218] = 3.294931e+03
sigma_z[219] = 1.403679e+05
sigma_z[220] = 4.547121e+03
sigma_z[221] = 1.404990e+05
sigma_z[222] = 2.329320e+03
sigma_z[223] = 1.396843e+05
sigma_z[224] = 3.761889e+03
sigma_z[225] = 1.405561e+05
sigma_z[226] = 4.155421e+03
sigma_z[227] = 1.408830e+05
sigma_z[228] = 1.973483e+03
sigma_z[229] = 1.418359e+05
sigma_z[230] = 3.360316e+03
sigma_z[231] = 1.422558e+05
sigma_z[232] = 1.567454e+03
sigma_z[233] = 1.437240e+05
sigma_z[234] = 3.620153e+03
sigma_z[235] = 1.397315e+05
sigma_z[236] = 3.426254e+03
sigma_z[237] = 1.410779e+05
sigma_z[238] = 1.785004e+03
sigma_z[239] = 1.394781e+05
sigma_z[240] = 2.676797e+03
sigma_z[241] = 1.411978e+05
sigma_z[242] = 2.711119e+03
sigma_z[243] = 1.455402e+05
sigma_z[244] = 1.271878e+03
sigma_z[245] = 1.501773e+05
sigma_z[246] = 2.127168e+03
sigma_z[247] = 1.475366e+05
sigma_z[248] = 1.350141e+03
sigma_z[249] = 1.614889e+05
sigma_z[250] = -1.753480e+05
sigma_z[251] = -9.138160e+04
sigma_z[252] = 8.386228e+04
sigma_z[253] = -3.385975e+04
sigma_z[254] = 1.314756e+05
sigma_z[255] = -2.030611e+05
sigma_z[256] = 2.635162e+03
sigma_z[257] = -2.248652e+05
sigma_z[258] = 3.779107e+03
sigma_z[259] = 1.340712e+05
sigma_z[260] = 1.441233e+05
sigma_z[261] = -2.313223e+05
sigma_z[262] = 4.180624e+04
sigma_z[263] = 1.430513e+05
sigma_z[264] = 1.691945e+05
sigma_z[265] = -2.138122e+05
sigma_z[266] = 2.789315e+04
sigma_z[267] = 1.499170e+05
sigma_z[268] = -6.167144e+03
sigma_z[269] = 1.376404e+05
sigma_z[270] = 3.790163e+02
sigma_z[271] = 1.402559e+05
sigma_z[272] = -3.406082e+03
sigma_z[273] = 1.371302e+05
sigma_z[274] = -3.451914e+02
sigma_z[275] = 1.400744e+05
sigma_z[276] = 6.740620e+02
sigma_z[277] = 1.453284e+05
sigma_z[278] = -6.045963e+02
sigma_z[279] = 1.582517e+05
sigma_z[280] = -9.912241e+01
sigma_z[281] = 1.434295e+05
sigma_z[282] = -2.989642e+03
sigma_z[283] = 1.472421e+05
sigma_z[284] = 1.126211e+04
sigma_z[285] = 1.404979e+05
sigma_z[286] = 3.617452e+03
sigma_z[287] = 1.423070e+05
sigma_z[288] = 1.634989e+04
sigma_z[289] = 1.444290e+05
sigma_z[290] = 7.325482e+03
sigma_z[291] = 1.450493e+05
sigma_z[292] = 2.006092e+03
sigma_z[293] = 1.447962e+05
sigma_z[294] = -5.183071e+01
sigma_z[295] = 1.439382e+05
sigma_z[296] = 4.127288e+03
sigma_z[297] = 1.477259e+05
sigma_z[298] = 5.358836e+03
sigma_z[299] = 1.453586e+05
sigma_z[300] = -1.846983e+03
sigma_z[301] = 1.427864e+05
sigma_z[302] = 8.812938e+02
sigma_z[303] = 1.573621e+05
sigma_z[304] = -1.386740e+03
sigma_z[305] = 1.443511e+05
sigma_z[306] = -1.658919e+04
sigma_z[307] = 1.263586e+05
sigma_z[308] = -1.619060e+05
sigma_z[309] = 1.598212e+05
sigma_z[310] = -4.481507e+04
sigma_z[311] = 7.937465e+04
sigma_z[312] = 2.199529e+03
sigma_z[313] = 1.464130e+05
sigma_z[314] = 6.952030e+03
sigma_z[315] = 1.670779e+05
sigma_z[316] = -4.984628e+02
sigma_z[317] = 1.703316e+05
sigma_z[318] = 9.471474e+03
sigma_z[319] = 1.177068e+05
sigma_z[320] = -1.723057e+05
sigma_z[321] = 1.282923e+05
sigma_z[322] = 3.097244e+04
sigma_z[323] = 3.975187e+03
sigma_z[324] = 2.046009e+05
sigma_z[325] = -2.110659e+05
sigma_z[326] = 1.436207e+05
sigma_z[327] = -7.225213e+03
sigma_z[328] = 1.519481e+05
sigma_z[329] = -1.579261e+05
sigma_z[330] = 1.332483e+05
sigma_z[331] = -7.965552e+03
sigma_z[332] = 1.397505e+05
sigma_z[333] = -1.406409e+05
sigma_z[334] = 1.227777e+05
sigma_z[335] = 5.359408e+03
sigma_z[336] = 1.371191e+05
sigma_z[337] = -1.302903e+05
sigma_z[338] = 1.266378e+05
sigma_z[339] = 1.949471e+05
sigma_z[340] = -1.753015e+05
sigma_z[341] = 2.132254e+04
sigma_z[342] = 1.468553e+05
sigma_z[343] = -1.779453e+05
sigma_z[344] = -9.052691e+04
sigma_z[345] = 8.617661e+04
sigma_z[346] = 6.858011e+04
sigma_z[347] = 1.138747e+05
sigma_z[348] = -2.080448e+05
sigma_z[349] = 1.424104e+05
sigma_z[350] = -2.211143e+05
sigma_z[351] = 3.086410e+03
sigma_z[352] = 1.438506e+05
sigma_z[353] = 3.841910e+03
sigma_z[354] = 1.454495e+05
sigma_z[355] = -3.278790e+04
sigma_z[356] = 1.346789e+05
sigma_z[357] = -6.751441e+03
sigma_z[358] = 1.426999e+05
sigma_z[359] = 2.017266e+03
sigma_z[360] = 1.496666e+05
sigma_z[361] = 2.985489e+03
sigma_z[362] = 1.525995e+05
sigma_z[363] = -3.882070e+03
sigma_z[364] = 1.484223e+05
sigma_z[365] = -6.011288e+03
sigma_z[366] = 1.569327e+05
sigma_z[367] = 4.163557e+03
sigma_z[368] = 1.363833e+05
sigma_z[369] = -5.220666e+03
sigma_z[370] = 1.419204e+05
sigma_z[371] = 4.038328e+04
sigma_z[372] = 1.460493e+05
sigma_z[373] = 9.645292e+03
sigma_z[374] = 1.464765e+05
sigma_z[375] = -6.439534e+03
sigma_z[376] = 1.462515e+05
sigma_z[377] = -1.175555e+04
sigma_z[378] = 1.513783e+05
sigma_z[379] = 1.520884e+02
sigma_z[380] = 1.472291e+05
sigma_z[381] = -9.060926e+03
sigma_z[382] = 1.457236e+05
sigma_z[383] = 1.969117e+05
sigma_z[384] = -1.750053e+05
sigma_z[385] = -1.555752e+05
sigma_z[386] = 3.258052e+04
sigma_z[387] = 1.578641e+05
sigma_z[388] = 1.320911e+04
sigma_z[389] = 1.530611e+05
sigma_z[390] = -9.757787e+04
sigma_z[391] = 1.461742e+05
sigma_z[392] = -1.219809e+04
sigma_z[393] = 1.553927e+05
sigma_z[394] = 7.879337e+03
sigma_z[395] = 1.513372e+05
sigma_z[396] = 6.610420e+03
sigma_z[397] = 1.471318e+05
sigma_z[398] = 1.373083e+03
sigma_z[399] = 1.580034e+05
sigma_z[400] = 1.600589e+04
sigma_z[401] = 1.497718e+05
sigma_z[402] = 4.799151e+04
sigma_z[403] = 1.531319e+05
sigma_z[404] = -8.916656e+03
sigma_z[405] = 1.496494e+05
sigma_z[406] = 1.085316e+05
sigma_z[407] = -1.668009e+05
sigma_z[408] = 5.739055e+03
sigma_z[409] = 1.337445e+05
sigma_z[410] = -1.057513e+04
sigma_z[411] = 1.583345e+05
sigma_z[412] = 1.611894e+05
sigma_z[413] = 1.927363e+04
sigma_z[414] = -1.023627e+04
sigma_z[415] = -1.194456e+04
sigma_z[416] = 1.468613e+05
sigma_z[417] = -1.502916e+05
sigma_z[418] = 1.463577e+05
sigma_z[419] = 1.629633e+04
sigma_z[420] = 1.381219e+05
sigma_z[421] = 5.331269e+04
sigma_z[422] = 1.523685e+04
sigma_z[423] = -1.595549e+05
sigma_z[424] = 1.629765e+05
sigma_z[425] = -1.537349e+05
sigma_z[426] = 1.474419e+05
sigma_z[427] = -1.456803e+05
sigma_z[428] = 1.316185e+05
sigma_z[429] = -1.386736e+05
sigma_z[430] = 1.502672e+05
sigma_z[431] = 6.129512e+04
sigma_z[432] = 1.474269e+05
sigma_z[433] = -1.722617e+05
sigma_z[434] = 7.065913e+03
sigma_z[435] = 1.312965e+05
sigma_z[436] = 1.873801e+05
sigma_z[437] = -1.718481e+05
sigma_z[438] = 5.481321e+03
sigma_z[439] = 1.301623e+05
sigma_z[440] = -1.184818e+04
sigma_z[441] = 1.361370e+05
sigma_z[442] = -1.373138e+05
sigma_z[443] = 1.342373e+05
sigma_z[444] = -1.480652e+04
sigma_z[445] = 1.256351e+05
sigma_z[446] = -1.230898e+05
sigma_z[447] = 1.232936e+05
sigma_z[448] = -1.707261e+05
sigma_z[449] = -1.217518e+05
sigma_z[450] = 7.388915e+04
sigma_z[451] = 5.071168e+04
sigma_z[452] = 1.295117e+05
sigma_z[453] = -1.960435e+05
sigma_z[454] = -3.090629e+04
sigma_z[455] = 1.093130e+05
sigma_z[456] = -3.522152e+03
sigma_z[457] = -1.377370e+05
sigma_z[458] = 1.910895e+05
sigma_z[459] = 1.297548e+05
sigma_z[460] = -2.197138e+05
sigma_z[461] = 1.916581e+05
sigma_z[462] = -1.649302e+05
sigma_z[463] = -3.052889e+04
sigma_z[464] = 1.019284e+05
sigma_z[465] = -2.047570e+05
sigma_z[466] = 1.598068e+05
sigma_z[467] = 1.417199e+05
sigma_z[468] = -1.366883e+05
sigma_z[469] = -1.260317e+05
sigma_z[470] = -6.221726e+04
