[ PSO ]

EPS_X	EPS_Y	GAMMA
eps_x[173] = -9.934045e-07	 eps_y[173] = 3.875482e-06	 gama[173] = 2.462580e-06
eps_x[174] = -7.485241e-07	 eps_y[174] = 5.077536e-07	 gama[174] = 4.285670e-06
eps_x[175] = -9.223270e-07	 eps_y[175] = 3.360543e-06	 gama[175] = 1.946744e-06
eps_x[176] = 9.561546e-07	 eps_y[176] = -3.356199e-06	 gama[176] = -1.989894e-06
eps_x[177] = -9.610689e-07	 eps_y[177] = 3.568426e-06	 gama[177] = 1.970504e-06
eps_x[178] = -6.304909e-07	 eps_y[178] = 6.338280e-07	 gama[178] = 4.021059e-06
eps_x[179] = -9.449199e-07	 eps_y[179] = 3.491215e-06	 gama[179] = 2.151691e-06
eps_x[180] = -6.148991e-07	 eps_y[180] = 5.798403e-07	 gama[180] = 4.009851e-06
eps_x[181] = -9.510840e-07	 eps_y[181] = 3.337427e-06	 gama[181] = 2.046634e-06
eps_x[182] = -6.316755e-07	 eps_y[182] = 6.355708e-07	 gama[182] = 3.973464e-06
eps_x[183] = -9.513971e-07	 eps_y[183] = 3.581022e-06	 gama[183] = 2.112375e-06
eps_x[184] = -7.656638e-07	 eps_y[184] = 6.830602e-07	 gama[184] = 4.450950e-06
eps_x[185] = -9.565639e-07	 eps_y[185] = 3.668460e-06	 gama[185] = 2.217583e-06
eps_x[186] = -7.803420e-07	 eps_y[186] = 6.861711e-07	 gama[186] = 4.374262e-06
eps_x[187] = -9.599223e-07	 eps_y[187] = 3.285207e-06	 gama[187] = 1.931525e-06
eps_x[188] = 1.015839e-06	 eps_y[188] = -3.292083e-06	 gama[188] = -1.653198e-06
eps_x[189] = -1.074714e-06	 eps_y[189] = 3.418920e-06	 gama[189] = 1.707433e-06
eps_x[190] = -2.862300e-07	 eps_y[190] = 3.542168e-07	 gama[190] = 3.267860e-06
eps_x[191] = -9.741158e-07	 eps_y[191] = 2.971048e-06	 gama[191] = 1.988682e-06
eps_x[192] = -1.901422e-06	 eps_y[192] = 2.150918e-06	 gama[192] = 7.011649e-06
eps_x[193] = 1.067565e-06	 eps_y[193] = -3.843298e-06	 gama[193] = -8.105397e-07
eps_x[194] = -1.909010e-07	 eps_y[194] = -1.338667e-06	 gama[194] = 3.695415e-06
eps_x[195] = -1.243680e-06	 eps_y[195] = 2.770244e-06	 gama[195] = 3.182359e-06
eps_x[196] = -7.317638e-07	 eps_y[196] = 3.148945e-06	 gama[196] = 6.350992e-07
eps_x[197] = 6.440253e-07	 eps_y[197] = -3.705336e-06	 gama[197] = -1.218797e-07
eps_x[198] = -5.959662e-07	 eps_y[198] = 6.871757e-08	 gama[198] = 3.735171e-06
eps_x[199] = -9.617612e-07	 eps_y[199] = 3.360123e-06	 gama[199] = 2.080383e-06
eps_x[200] = -6.159082e-07	 eps_y[200] = 5.694972e-07	 gama[200] = 3.873349e-06
eps_x[201] = -9.293969e-07	 eps_y[201] = 3.437426e-06	 gama[201] = 2.041534e-06
eps_x[202] = -6.906757e-07	 eps_y[202] = 1.054820e-06	 gama[202] = 3.766352e-06
eps_x[203] = -8.129782e-07	 eps_y[203] = 3.322646e-06	 gama[203] = 1.658185e-06
eps_x[204] = -6.257634e-07	 eps_y[204] = 6.381267e-07	 gama[204] = 3.836469e-06
eps_x[205] = -9.044370e-07	 eps_y[205] = 3.402920e-06	 gama[205] = 1.972163e-06
eps_x[206] = -8.806126e-07	 eps_y[206] = 3.737589e-06	 gama[206] = 1.125412e-06
eps_x[207] = 8.372911e-07	 eps_y[207] = -3.947318e-06	 gama[207] = -9.343105e-07
eps_x[208] = -9.957873e-07	 eps_y[208] = 4.426142e-06	 gama[208] = 1.149786e-06
eps_x[209] = 9.709073e-07	 eps_y[209] = -4.121365e-06	 gama[209] = -1.251654e-06
eps_x[210] = -7.484198e-07	 eps_y[210] = 1.104866e-06	 gama[210] = 4.161905e-06
eps_x[211] = -8.722730e-07	 eps_y[211] = 3.456494e-06	 gama[211] = 1.527822e-06
eps_x[212] = -6.519084e-07	 eps_y[212] = 7.964795e-07	 gama[212] = 3.923367e-06
eps_x[213] = -8.918563e-07	 eps_y[213] = 3.418834e-06	 gama[213] = 1.878313e-06
eps_x[214] = -7.481313e-07	 eps_y[214] = 1.061285e-06	 gama[214] = 4.821620e-06
eps_x[215] = -9.796529e-07	 eps_y[215] = 3.541264e-06	 gama[215] = 1.896691e-06
eps_x[216] = -6.379098e-07	 eps_y[216] = 6.232919e-07	 gama[216] = 3.996747e-06
eps_x[217] = -9.218700e-07	 eps_y[217] = 3.432865e-06	 gama[217] = 1.938218e-06
eps_x[218] = -5.969672e-07	 eps_y[218] = 6.562759e-07	 gama[218] = 3.864555e-06
eps_x[219] = -9.260668e-07	 eps_y[219] = 3.452689e-06	 gama[219] = 2.103863e-06
eps_x[220] = -5.808969e-07	 eps_y[220] = 6.627451e-07	 gama[220] = 3.847145e-06
eps_x[221] = -9.282682e-07	 eps_y[221] = 3.457250e-06	 gama[221] = 2.159213e-06
eps_x[222] = -5.991636e-07	 eps_y[222] = 6.410914e-07	 gama[222] = 3.852300e-06
eps_x[223] = -9.231534e-07	 eps_y[223] = 3.437471e-06	 gama[223] = 2.093014e-06
eps_x[224] = -5.850318e-07	 eps_y[224] = 6.527458e-07	 gama[224] = 3.849945e-06
eps_x[225] = -9.287553e-07	 eps_y[225] = 3.458764e-06	 gama[225] = 2.155558e-06
eps_x[226] = -5.818027e-07	 eps_y[226] = 6.566003e-07	 gama[226] = 3.859113e-06
eps_x[227] = -9.314523e-07	 eps_y[227] = 3.467347e-06	 gama[227] = 2.176656e-06
eps_x[228] = -6.109727e-07	 eps_y[228] = 6.464954e-07	 gama[228] = 3.934067e-06
eps_x[229] = -9.347538e-07	 eps_y[229] = 3.487799e-06	 gama[229] = 2.137642e-06
eps_x[230] = -5.902911e-07	 eps_y[230] = 6.507768e-07	 gama[230] = 3.870973e-06
eps_x[231] = -9.316979e-07	 eps_y[231] = 3.492303e-06	 gama[231] = 2.163187e-06
eps_x[232] = -6.126571e-07	 eps_y[232] = 6.408713e-07	 gama[232] = 3.927280e-06
eps_x[233] = -9.360621e-07	 eps_y[233] = 3.523095e-06	 gama[233] = 2.103498e-06
eps_x[234] = -6.063649e-07	 eps_y[234] = 6.715277e-07	 gama[234] = 3.863409e-06
eps_x[235] = -9.165250e-07	 eps_y[235] = 3.431692e-06	 gama[235] = 2.058500e-06
eps_x[236] = -5.909157e-07	 eps_y[236] = 6.525883e-07	 gama[236] = 3.850057e-06
eps_x[237] = -9.262086e-07	 eps_y[237] = 3.465610e-06	 gama[237] = 2.132634e-06
eps_x[238] = -6.051364e-07	 eps_y[238] = 6.372665e-07	 gama[238] = 3.872914e-06
eps_x[239] = -9.184009e-07	 eps_y[239] = 3.429007e-06	 gama[239] = 2.049136e-06
eps_x[240] = -5.943481e-07	 eps_y[240] = 6.425305e-07	 gama[240] = 3.844823e-06
eps_x[241] = -9.218615e-07	 eps_y[241] = 3.463421e-06	 gama[241] = 2.098609e-06
eps_x[242] = -6.027999e-07	 eps_y[242] = 6.516001e-07	 gama[242] = 3.868287e-06
eps_x[243] = -9.283520e-07	 eps_y[243] = 3.548075e-06	 gama[243] = 2.116613e-06
eps_x[244] = -6.320271e-07	 eps_y[244] = 6.549209e-07	 gama[244] = 3.949242e-06
eps_x[245] = -9.288924e-07	 eps_y[245] = 3.632083e-06	 gama[245] = 2.052121e-06
eps_x[246] = -6.124263e-07	 eps_y[246] = 6.507153e-07	 gama[246] = 3.841030e-06
eps_x[247] = -9.161664e-07	 eps_y[247] = 3.571824e-06	 gama[247] = 2.023613e-06
eps_x[248] = -6.539207e-07	 eps_y[248] = 6.782232e-07	 gama[248] = 3.885716e-06
eps_x[249] = -9.160874e-07	 eps_y[249] = 3.822888e-06	 gama[249] = 1.903541e-06
eps_x[250] = 1.054396e-06	 eps_y[250] = -4.210660e-06	 gama[250] = -9.208836e-07
eps_x[251] = -8.739141e-08	 eps_y[251] = -1.557477e-06	 gama[251] = 3.471352e-06
eps_x[252] = -1.191957e-06	 eps_y[252] = 2.701478e-06	 gama[252] = 3.173938e-06
eps_x[253] = -5.316800e-07	 eps_y[253] = -7.779543e-08	 gama[253] = 3.586176e-06
eps_x[254] = -9.390693e-07	 eps_y[254] = 3.305630e-06	 gama[254] = 2.108763e-06
eps_x[255] = 7.248107e-07	 eps_y[255] = -4.379911e-06	 gama[255] = -5.709154e-07
eps_x[256] = 7.416450e-07	 eps_y[256] = -6.942121e-07	 gama[256] = -3.885330e-06
eps_x[257] = 1.333155e-06	 eps_y[257] = -5.380728e-06	 gama[257] = -3.269508e-06
eps_x[258] = -6.049408e-07	 eps_y[258] = 6.729648e-07	 gama[258] = 3.434350e-06
eps_x[259] = -7.978931e-07	 eps_y[259] = 3.211175e-06	 gama[259] = 1.767479e-06
eps_x[260] = -8.059564e-07	 eps_y[260] = 3.400176e-06	 gama[260] = 4.125039e-07
eps_x[261] = 5.981988e-07	 eps_y[261] = -4.762000e-06	 gama[261] = 1.162883e-06
eps_x[262] = -7.195728e-07	 eps_y[262] = 1.472085e-06	 gama[262] = 3.777171e-06
eps_x[263] = -7.625765e-07	 eps_y[263] = 3.337500e-06	 gama[263] = 1.321039e-06
eps_x[264] = -9.850125e-07	 eps_y[264] = 4.030513e-06	 gama[264] = 1.428730e-06
eps_x[265] = 9.153833e-07	 eps_y[265] = -4.764002e-06	 gama[265] = -9.509120e-07
eps_x[266] = -7.740909e-07	 eps_y[266] = 1.276168e-06	 gama[266] = 4.308544e-06
eps_x[267] = -9.024231e-07	 eps_y[267] = 3.600928e-06	 gama[267] = 1.503962e-06
eps_x[268] = -5.831559e-07	 eps_y[268] = 4.721473e-07	 gama[268] = 3.782565e-06
eps_x[269] = -9.189144e-07	 eps_y[269] = 3.396441e-06	 gama[269] = 2.066995e-06
eps_x[270] = -5.923686e-07	 eps_y[270] = 5.991909e-07	 gama[270] = 3.821783e-06
eps_x[271] = -9.162518e-07	 eps_y[271] = 3.440859e-06	 gama[271] = 2.070898e-06
