[ PSN ]

tEPS_Z
eps_z[275] = -6.803841e-07
eps_z[276] = 2.488791e-08
eps_z[277] = -7.061534e-07
eps_z[278] = 2.753669e-08
eps_z[279] = -7.692746e-07
eps_z[280] = 2.799934e-08
eps_z[281] = -6.975504e-07
eps_z[282] = 3.826882e-08
eps_z[283] = -7.174622e-07
eps_z[284] = -2.688459e-08
eps_z[285] = -6.826186e-07
eps_z[286] = 1.097653e-08
eps_z[287] = -6.911279e-07
eps_z[288] = -4.953610e-08
eps_z[289] = -7.035979e-07
eps_z[290] = -6.874858e-09
eps_z[291] = -7.048260e-07
eps_z[292] = 1.768578e-08
eps_z[293] = -7.044918e-07
eps_z[294] = 2.456117e-08
eps_z[295] = -7.027608e-07
eps_z[296] = 7.381429e-09
eps_z[297] = -7.183873e-07
eps_z[298] = 2.815480e-10
eps_z[299] = -7.102988e-07
eps_z[300] = 3.819925e-08
eps_z[301] = -6.945484e-07
eps_z[302] = 2.423576e-08
eps_z[303] = -7.703050e-07
eps_z[304] = 3.547486e-08
eps_z[305] = -7.027088e-07
eps_z[306] = 1.074407e-07
eps_z[307] = -6.113220e-07
eps_z[308] = 7.909386e-07
eps_z[309] = -7.852021e-07
eps_z[310] = 2.584570e-07
eps_z[311] = -3.846124e-07
eps_z[312] = 2.054756e-08
eps_z[313] = -7.143723e-07
eps_z[314] = -8.693129e-09
eps_z[315] = -8.188072e-07
eps_z[316] = 3.006321e-08
eps_z[317] = -8.216863e-07
eps_z[318] = -9.481837e-10
eps_z[319] = -5.827437e-07
eps_z[320] = 8.459875e-07
eps_z[321] = -6.408008e-07
eps_z[322] = -1.546297e-07
eps_z[323] = 2.316750e-09
eps_z[324] = -9.931310e-07
eps_z[325] = 1.018003e-06
eps_z[326] = -6.980472e-07
eps_z[327] = 5.483204e-08
eps_z[328] = -7.405254e-07
eps_z[329] = 7.684593e-07
eps_z[330] = -6.514083e-07
eps_z[331] = 5.865389e-08
eps_z[332] = -6.839685e-07
eps_z[333] = 6.897849e-07
eps_z[334] = -6.051969e-07
eps_z[335] = -4.043971e-09
eps_z[336] = -6.740869e-07
eps_z[337] = 6.492897e-07
eps_z[338] = -6.340258e-07
eps_z[339] = -9.602118e-07
eps_z[340] = 8.655625e-07
eps_z[341] = -5.984444e-08
eps_z[342] = -7.209656e-07
eps_z[343] = 8.903529e-07
eps_z[344] = 4.856665e-07
eps_z[345] = -4.287326e-07
eps_z[346] = -2.690855e-07
eps_z[347] = -5.649584e-07
eps_z[348] = 1.011760e-06
eps_z[349] = -7.155282e-07
eps_z[350] = 1.094371e-06
eps_z[351] = 1.563388e-08
eps_z[352] = -7.020697e-07
eps_z[353] = 9.786781e-09
eps_z[354] = -7.075356e-07
eps_z[355] = 1.834347e-07
eps_z[356] = -6.570583e-07
eps_z[357] = 5.931750e-08
eps_z[358] = -6.947440e-07
eps_z[359] = 1.683790e-08
eps_z[360] = -7.272140e-07
eps_z[361] = 1.187130e-08
eps_z[362] = -7.421867e-07
eps_z[363] = 4.387554e-08
eps_z[364] = -7.216037e-07
eps_z[365] = 5.297890e-08
eps_z[366] = -7.604590e-07
eps_z[367] = 2.186866e-09
eps_z[368] = -6.608947e-07
eps_z[369] = 4.988852e-08
eps_z[370] = -6.906726e-07
eps_z[371] = -1.695236e-07
eps_z[372] = -7.120459e-07
eps_z[373] = -2.190648e-08
eps_z[374] = -7.134383e-07
eps_z[375] = 5.486327e-08
eps_z[376] = -7.123986e-07
eps_z[377] = 7.882518e-08
eps_z[378] = -7.359566e-07
eps_z[379] = 2.269783e-08
eps_z[380] = -7.186637e-07
eps_z[381] = 6.517113e-08
eps_z[382] = -7.118215e-07
eps_z[383] = -9.714239e-07
eps_z[384] = 8.656703e-07
eps_z[385] = 7.824555e-07
eps_z[386] = -1.231867e-07
eps_z[387] = -7.752331e-07
eps_z[388] = -3.710927e-08
eps_z[389] = -7.470422e-07
eps_z[390] = 4.971268e-07
eps_z[391] = -7.174168e-07
eps_z[392] = 8.599201e-08
eps_z[393] = -7.580545e-07
eps_z[394] = -1.307277e-08
eps_z[395] = -7.399507e-07
eps_z[396] = -1.005701e-08
eps_z[397] = -7.220795e-07
eps_z[398] = 1.874145e-08
eps_z[399] = -7.699001e-07
eps_z[400] = -4.823801e-08
eps_z[401] = -7.375210e-07
eps_z[402] = -1.917615e-07
eps_z[403] = -7.345675e-07
eps_z[404] = 6.968453e-08
eps_z[405] = -7.270262e-07
eps_z[406] = -5.512948e-07
eps_z[407] = 8.288671e-07
eps_z[408] = -1.090244e-08
eps_z[409] = -6.521227e-07
eps_z[410] = 7.398329e-08
eps_z[411] = -7.688162e-07
eps_z[412] = -7.810407e-07
eps_z[413] = -1.207969e-07
eps_z[414] = 7.258670e-08
eps_z[415] = 7.651512e-08
eps_z[416] = -7.158488e-07
eps_z[417] = 7.341277e-07
eps_z[418] = -7.154227e-07
eps_z[419] = -4.809128e-08
eps_z[420] = -6.811410e-07
eps_z[421] = -2.536765e-07
eps_z[422] = -1.038398e-07
eps_z[423] = 7.720310e-07
eps_z[424] = -7.873915e-07
eps_z[425] = 7.478557e-07
